player_id,from_id,to_id,date
45274,1003,281,2012-05-31
45274,281,1003,2011-07-27
45274,123,281,2006-07-01
134425,281,631,2022-07-13
134425,31,281,2015-07-14
134425,123,31,2012-07-01
107010,430,13,2015-07-20
107010,281,430,2012-08-31
107010,123,281,2011-07-06
3333,31,1237,2023-07-01
3333,281,31,2015-07-01
3333,405,281,2010-08-17
3333,762,405,2008-08-29
3333,405,762,2006-05-08
3333,762,405,2005-08-31
3333,399,762,2004-07-02
3333,123,399,2003-10-02
3333,399,123,2003-09-04
3333,123,399,2002-07-01
26267,281,679,2022-07-18
26267,123,281,2013-07-01
26267,679,123,2005-07-01
26267,123,679,2002-01-01
19948,180,123,2023-07-01
19948,123,180,2021-12-06
19948,631,123,2021-07-01
19948,281,631,2017-07-01
19948,123,281,2014-07-08
19948,1531,123,2011-02-11
19948,123,1531,2006-06-30
19948,1531,123,2005-12-28
19948,189,1531,2004-08-07
19948,123,189,2000-07-01
50362,29,123,2022-07-01
50362,281,29,2019-07-15
50362,405,281,2015-07-17
50362,399,405,2012-02-16
50362,405,399,2012-01-20
50362,399,405,2009-08-04
50362,123,399,2008-07-01
3467,623,123,2017-02-24
3467,123,623,2015-07-27
3467,281,123,2011-08-01
3467,631,281,2008-08-01
3467,281,631,2005-07-01
3467,123,281,1999-07-01
4672,39,123,2018-07-09
4672,141,39,2018-01-05
4672,1061,141,2016-08-31
4672,5,1061,2016-02-03
4672,281,5,2012-08-31
4672,123,281,2009-01-21
4672,610,123,2006-01-26
4672,123,610,2002-07-01
165007,940,1050,2023-07-01
165007,714,940,2023-06-30
165007,940,714,2023-01-31
165007,131,940,2019-07-01
165007,11,131,2019-06-30
165007,131,11,2019-01-31
165007,1050,131,2016-07-04
165007,131,1050,2015-08-29
165007,368,131,2015-08-28
165007,131,368,2014-07-02
165007,123,131,2014-07-01
201,281,123,2012-07-01
201,985,281,2011-08-31
201,27,985,2007-07-01
201,123,27,2000-07-01
3682,281,123,2013-07-01
3682,1237,281,2013-05-31
3682,281,1237,2012-07-06
3682,123,281,2012-05-31
3682,281,123,2012-01-31
3682,379,281,2011-05-23
3682,281,379,2011-01-12
3682,631,281,2009-01-02
3682,931,631,2006-05-08
3682,631,931,2006-01-19
3682,180,631,2003-07-21
3682,123,180,1998-01-01
277723,798,123,2020-06-30
277723,123,798,2020-01-21
7449,6890,123,2020-08-06
7449,281,6890,2017-07-11
7449,11,281,2011-07-04
7449,123,11,2003-08-04
98596,1108,123,2022-07-15
98596,123,1108,2020-06-30
98596,1108,123,2020-01-17
98596,940,1108,2018-07-01
98596,1108,940,2018-06-30
98596,940,1108,2018-01-08
98596,281,940,2015-07-11
98596,123,281,2015-05-31
98596,281,123,2014-09-01
98596,123,281,2014-05-31
98596,281,123,2014-01-14
98596,234,281,2012-06-30
98596,281,234,2011-08-31
98596,1132,281,2010-12-31
98596,281,1132,2010-11-25
98596,123,281,2010-06-30
98596,281,123,2010-04-01
98596,123,281,2008-07-01
36350,2503,123,2022-07-01
36350,150,2503,2020-08-19
36350,123,150,2017-08-14
36350,281,123,2014-08-14
36350,294,281,2012-08-31
36350,418,294,2009-07-21
36350,331,418,2008-07-01
36350,123,331,2007-08-31
277118,1108,123,2022-06-30
277118,123,1108,2021-07-09
277118,281,123,2019-07-19
277118,415,281,2019-06-30
277118,281,415,2018-07-07
277118,123,281,2018-07-01
51174,123,6600,2024-02-21
51174,368,123,2024-01-10
51174,141,368,2019-07-12
51174,281,141,2017-08-04
51174,720,281,2014-07-01
51174,2431,720,2008-06-30
51174,720,2431,2007-08-01
51174,123,720,2007-07-01
3146,405,123,2015-07-10
3146,123,405,2014-02-28
3146,405,123,2013-11-28
3146,281,405,2011-07-19
3146,762,281,2009-02-01
3146,123,762,1997-07-01
57079,350,123,2021-07-01
57079,123,350,2020-01-03
57079,281,123,2014-08-05
57079,29,281,2012-08-12
57079,123,29,2008-07-01
215,281,123,2013-07-11
215,123,281,2013-06-30
215,281,123,2012-08-31
215,150,281,2012-06-30
215,281,150,2011-08-30
215,123,281,2011-05-31
215,281,123,2011-01-14
215,123,281,2009-07-01
215,27,123,2007-07-28
215,123,27,1999-07-01
15956,368,123,2025-01-01
15956,281,368,2017-08-01
15956,368,281,2013-07-01
15956,123,368,2004-07-01
31579,281,123,2012-08-24
31579,123,281,2010-02-01
31579,1010,123,2007-11-11
31579,123,1010,2007-09-15
31579,399,123,2006-11-20
31579,123,399,2006-10-16
121408,281,123,2011-07-01
121408,123,281,2008-07-01
143559,430,237,2022-09-01
143559,33,430,2021-08-21
143559,281,33,2015-07-01
143559,33,281,2015-06-30
143559,281,33,2015-01-12
143559,430,281,2012-08-31
143559,123,430,2011-07-11
277179,23826,12,2024-07-01
277179,12,23826,2024-06-30
277179,23826,12,2024-01-30
277179,141,23826,2024-01-29
277179,23826,141,2023-07-12
277179,533,23826,2023-06-30
277179,23826,533,2022-08-08
277179,281,23826,2021-07-01
277179,23826,281,2021-06-30
277179,281,23826,2020-01-31
277179,383,281,2019-07-03
277179,123,383,2018-07-01
277179,237,123,2017-06-30
277179,123,237,2017-01-31
277179,12321,123,2017-01-30
277179,123,12321,2017-01-01
277179,40058,123,2015-10-31
277179,123,40058,2015-07-08
3291,984,123,2020-08-27
3291,29,984,2017-08-15
3291,281,29,2014-07-08
3291,29,281,2014-05-31
3291,281,29,2013-09-02
3291,405,281,2009-07-01
3291,123,405,1998-07-01
54781,281,294,2020-09-29
54781,1049,281,2015-08-20
54781,720,1049,2014-07-01
54781,330,720,2014-06-30
54781,720,330,2014-01-31
54781,1029,720,2010-08-31
54781,123,1029,2009-01-01
114365,281,123,2019-07-19
114365,123,281,2019-06-30
114365,281,123,2016-07-01
114365,123,281,2015-12-21
114365,281,123,2015-10-27
114365,123,281,2015-10-26
28396,46,36,2023-07-01
28396,12,46,2021-08-14
28396,281,12,2016-07-01
28396,12,281,2016-06-30
28396,281,12,2015-08-12
28396,82,281,2011-01-07
28396,123,82,2007-07-01
40204,148,123,2021-08-03
40204,1132,148,2020-08-18
40204,281,1132,2018-08-07
40204,379,281,2018-05-31
40204,281,379,2017-07-18
40204,416,281,2017-06-30
40204,281,416,2016-08-31
40204,123,281,2010-05-31
40204,281,123,2009-07-01
40204,123,281,2007-05-01
40204,281,123,2007-04-01
40204,123,281,2007-02-01
40204,281,123,2007-01-01
40204,123,281,2006-07-01
265763,123,601,2023-08-15
265763,347,123,2021-07-24
265763,123,347,2020-07-01
265763,347,123,2020-06-30
265763,123,347,2019-07-01
265763,826,123,2019-06-30
265763,123,826,2018-07-26
4276,189,123,2021-07-01
4276,123,189,2018-01-06
4276,189,123,2017-01-01
4276,506,189,2015-07-11
4276,281,506,2013-07-01
4276,379,281,2009-07-14
4276,985,379,2009-06-30
4276,379,985,2007-08-10
4276,199,379,2006-08-31
4276,189,199,2005-01-01
4276,123,189,2002-01-01
92701,281,123,2012-08-02
92701,714,281,2012-06-30
92701,281,714,2011-08-30
92701,123,281,2011-05-31
92701,281,123,2010-08-19
92701,123,281,2010-06-01
92701,281,123,2010-01-22
92701,123,281,2009-01-01
18644,123,366,2024-02-08
18644,2687,123,2024-02-01
18644,123,2687,2020-08-04
18644,114,123,2018-09-18
18644,1049,114,2017-08-04
18644,123,1049,2017-06-30
18644,1049,123,2016-07-20
18644,281,1049,2015-07-01
18644,1049,281,2015-06-30
18644,281,1049,2014-09-01
18644,368,281,2013-07-17
18644,418,368,2009-08-21
18644,3302,418,2009-07-01
18644,123,3302,2007-07-01
18644,367,123,2005-07-01
18644,123,367,2004-07-01
88755,82,281,2015-08-30
88755,631,82,2014-01-18
88755,86,631,2013-06-30
88755,631,86,2012-08-02
88755,1184,631,2012-06-30
88755,631,1184,2012-02-01
88755,1184,631,2012-01-31
88755,123,1184,2008-07-01
46104,44,123,2023-09-04
46104,162,44,2021-07-27
46104,46,162,2017-08-29
46104,368,46,2017-06-30
46104,46,368,2017-01-10
46104,281,46,2017-01-03
46104,46,281,2017-01-02
46104,281,46,2015-07-31
46104,430,281,2013-07-19
46104,123,430,2008-07-01
111433,6646,123,2024-07-01
111433,4171,6646,2023-07-22
111433,380,4171,2022-08-27
111433,749,380,2020-09-01
111433,123,749,2020-06-30
111433,749,123,2020-01-31
111433,123,749,2016-08-16
111433,985,123,2013-07-19
111433,281,985,2012-01-31
111433,123,281,2011-07-01
4241,405,123,2016-08-29
4241,984,405,2015-09-01
4241,281,984,2014-07-01
4241,29,281,2009-08-25
4241,543,29,2006-07-01
4241,123,543,2000-07-01
3190,180,123,2018-07-01
3190,123,180,2016-08-26
3190,399,123,2015-07-01
3190,123,399,2014-07-03
3190,281,123,2012-08-20
3190,405,281,2009-07-01
3190,123,405,2009-05-01
3190,405,123,2009-03-13
3190,11,405,2005-07-01
3190,1003,11,2004-12-31
3190,11,1003,2004-11-18
3190,123,11,2001-03-15
3190,11,123,2001-02-15
3190,873,11,2000-10-01
3190,11,873,2000-08-09
3190,123,11,2000-07-01
103261,543,123,2016-04-21
103261,123,543,2016-02-25
45146,123,3840,2023-09-15
45146,3840,123,2022-08-31
45146,2919,3840,2021-07-07
45146,123,2919,2020-12-07
45146,244,123,2019-08-18
45146,417,244,2019-01-23
45146,31,417,2016-08-31
45146,5,31,2016-06-30
45146,31,5,2015-08-27
45146,5,31,2014-08-25
45146,281,5,2013-01-31
